Decade,Paper,Faces freq.,Pages,% of pages
1790,GDL,3,20,15.0
1800,GDL,10,36,27.78
1810,GDL,2,26,7.69
1820,GDL,1,32,3.12
1820,JDG,0,26,0.0
1830,GDL,2,36,5.56
1830,JDG,1,54,1.85
1840,GDL,0,24,0.0
1840,JDG,1,50,2.0
1850,GDL,2,24,8.33
1850,JDG,2,48,4.17
1860,GDL,1,24,4.17
1860,JDG,4,48,8.33
1870,GDL,1,24,4.17
1870,JDG,5,46,10.87
1880,GDL,1,24,4.17
1880,IMP,1,34,2.94
1880,JDG,6,50,12.0
1890,GDL,1,26,3.85
1890,IMP,17,52,32.69
1890,JDG,1,52,1.92
1900,GDL,4,28,14.29
1900,IMP,25,68,36.76
1900,JDG,11,54,20.37
1910,GDL,4,30,13.33
1910,IMP,27,52,51.92
1910,JDG,6,50,12.0
1920,GDL,8,28,28.57
1920,IMP,46,64,71.88
1920,JDG,21,110,19.09
1930,GDL,8,28,28.57
1930,IMP,31,54,57.41
1930,JDG,32,104,30.77
1940,GDL,10,38,26.32
1940,IMP,24,56,42.86
1940,JDG,13,92,14.13
1950,GDL,8,48,16.67
1950,IMP,105,94,111.7
1950,JDG,49,116,42.24
1960,GDL,25,90,27.78
1960,IMP,175,144,121.53
1960,JDG,44,166,26.51
1970,GDL,14,78,17.95
1970,IMP,202,200,101.0
1970,JDG,48,186,25.81
1980,GDL,60,136,44.12
1980,IMP,343,210,163.33
1980,JDG,144,306,47.06
1990,GDL,115,208,55.29
1990,IMP,218,202,107.92
1990,JDG,190,424,44.81
2000,IMP,657,216,304.17
2010,IMP,699,188,371.81
